 	Area	X	Y	Perim.	BX	BY	Width	Height	Major	Minor	Angle	XStart	YStart
1	0.166	22.479	16.792	1.575	22.288	16.510	0.402	0.572	0.591	0.358	67.428	1063	780
2	0.189	38.972	19.032	1.707	38.650	18.817	0.614	0.444	0.637	0.378	159.216	1837	889
3	0.158	55.993	19.648	1.575	55.816	19.325	0.381	0.593	0.569	0.353	100.581	2642	913
4	0.172	62.242	20.726	1.637	62.061	20.426	0.360	0.614	0.620	0.353	85.587	2938	965
5	0.046	98.407	20.814	0.835	98.298	20.659	0.233	0.296	0.291	0.202	87.613	4647	976
6	0.177	58.992	21.135	1.672	58.822	20.828	0.360	0.635	0.634	0.355	89.385	2784	984
7	0.153	84.499	21.239	1.551	84.307	20.976	0.402	0.550	0.571	0.341	63.248	3992	991
8	0.154	101.671	21.304	1.523	101.410	21.103	0.529	0.381	0.545	0.359	163.899	4799	997
9	0.161	57.821	21.419	1.551	57.531	21.209	0.550	0.423	0.580	0.353	152.839	2727	1002
10	0.143	59.173	23.415	1.448	58.928	23.199	0.466	0.423	0.534	0.342	35.092	2799	1096
11	0.162	22.146	23.830	1.545	21.865	23.643	0.572	0.381	0.572	0.360	172.612	1041	1117
12	0.129	82.695	24.621	1.448	82.402	24.448	0.529	0.381	0.547	0.301	153.652	3900	1155
13	0.155	67.897	25.404	1.533	67.628	25.210	0.572	0.381	0.556	0.356	160.807	3199	1191
14	0.158	101.999	25.394	1.510	101.727	25.210	0.550	0.360	0.545	0.370	177.115	4814	1191
15	0.175	51.999	25.529	1.613	51.710	25.336	0.593	0.381	0.600	0.371	15.743	2454	1197
16	0.134	50.291	26.433	1.376	50.102	26.204	0.381	0.466	0.494	0.344	118.350	2371	1238
17	0.151	94.532	27.741	1.473	94.276	27.538	0.508	0.402	0.549	0.351	25.636	4467	1301
18	0.151	100.826	27.956	1.515	100.605	27.707	0.466	0.466	0.553	0.348	140.175	4755	1309
19	0.148	82.525	28.010	1.493	82.254	27.834	0.529	0.360	0.559	0.338	158.450	3887	1315
20	0.142	62.585	28.094	1.396	62.357	27.898	0.466	0.381	0.498	0.364	24.427	2955	1318
21	0.141	88.407	28.118	1.456	88.202	27.898	0.423	0.466	0.538	0.334	51.150	4178	1318
22	0.160	98.476	28.694	1.685	98.298	28.363	0.360	0.656	0.602	0.339	94.540	4649	1340
23	0.151	45.994	28.788	1.483	45.784	28.533	0.423	0.529	0.551	0.350	57.145	2175	1348
24	0.159	62.053	29.164	1.528	61.849	28.893	0.402	0.529	0.558	0.363	116.286	2928	1365
25	0.140	73.329	29.186	1.448	73.046	28.998	0.529	0.381	0.536	0.333	21.054	3464	1370
26	0.153	97.394	29.320	1.521	97.176	29.062	0.444	0.508	0.562	0.346	130.051	4593	1373
27	0.191	23.876	29.849	1.700	23.601	29.591	0.529	0.550	0.615	0.396	135.379	1121	1398
28	0.157	46.265	30.160	1.558	45.995	29.972	0.550	0.402	0.566	0.354	21.275	2187	1416
29	0.160	69.050	30.281	1.558	68.792	30.057	0.508	0.444	0.556	0.367	36.461	3269	1420
30	0.147	91.728	30.431	1.461	91.461	30.247	0.529	0.381	0.524	0.357	12.700	4332	1429
31	0.127	78.036	30.448	1.341	77.809	30.268	0.466	0.360	0.500	0.324	27.101	3686	1430
32	0.168	108.247	30.818	1.635	108.056	30.522	0.381	0.593	0.599	0.358	78.343	5114	1442
33	0.143	18.313	31.017	1.443	18.098	30.798	0.423	0.466	0.518	0.351	126.319	858	1455
34	0.176	112.693	31.352	1.648	112.501	31.052	0.402	0.593	0.591	0.378	95.935	5319	1467
35	0.120	79.637	31.546	1.353	79.375	31.369	0.487	0.339	0.497	0.308	17.399	3765	1482
