Slice	Count	Total Area	Average Size	%Area	Perim.	Major	Minor	Angle
0_9390_1.tif	390	50.128	0.129	0.256	1.372	0.501	0.325	93.570
1_6255_1.tif	223	41.057	0.184	0.210	1.659	0.612	0.380	91.035
2_6035_1.tif	467	55.499	0.119	0.283	1.307	0.472	0.320	96.697
4_9382_1.tif	293	49.108	0.168	0.251	1.588	0.592	0.358	86.171
5_9383_1.tif	390	57.405	0.147	0.293	1.488	0.557	0.335	89.852
6_6121_1.tif	291	39.589	0.136	0.202	1.412	0.507	0.340	83.860
7_6238_1.tif	150	22.509	0.150	0.115	1.484	0.544	0.345	85.164
8_6142_1.tif	352	45.191	0.128	0.231	1.366	0.497	0.328	88.071
10_9353_1.tif	252	33.149	0.132	0.169	1.412	0.508	0.329	94.777
11_6013_1.tif	240	37.720	0.157	0.193	1.541	0.577	0.346	99.843
12_6146_1.tif	298	36.366	0.122	0.186	1.337	0.491	0.315	87.288
13_6144_1.tif	280	28.858	0.103	0.147	1.219	0.450	0.290	84.097
14_9450_1.tif	320	38.378	0.120	0.196	1.325	0.490	0.311	89.452
15_9437_1.tif	366	45.670	0.125	0.233	1.347	0.489	0.324	93.636
16_6038_1.tif	284	34.805	0.123	0.178	1.336	0.478	0.323	86.960
17_6127_1.tif	334	42.216	0.126	0.216	1.352	0.492	0.325	88.059
18_1153_1.tif	336	33.785	0.101	0.173	1.207	0.427	0.299	97.085
19_6974_1.tif	345	44.106	0.128	0.225	1.368	0.489	0.332	90.750
20_6147_1.tif	323	45.686	0.141	0.233	1.446	0.525	0.340	85.215
21_6150_1.tif	263	33.287	0.127	0.170	1.354	0.482	0.332	90.523
22_8283_1.tif	394	53.785	0.137	0.275	1.425	0.528	0.328	92.265
23_9392_1.tif	345	42.241	0.122	0.216	1.336	0.491	0.316	94.567
24_6163_1.tif	209	30.422	0.146	0.155	1.456	0.531	0.345	86.982
25_9399_1.tif	327	45.772	0.140	0.234	1.424	0.516	0.344	88.948
26_1254_1.tif	255	34.749	0.136	0.177	1.420	0.523	0.329	90.718
27_6149_1.tif	323	36.579	0.113	0.187	1.287	0.477	0.300	87.289
28_6235_1.tif	189	28.572	0.151	0.146	1.519	0.572	0.334	93.189
29_6236_1.tif	163	25.057	0.154	0.128	1.522	0.567	0.343	91.564
30_6151_1.tif	263	28.492	0.108	0.146	1.251	0.453	0.303	89.842
31_9392_2.tif	455	55.773	0.123	0.285	1.337	0.491	0.316	90.578
33_1317_1.tif	319	42.132	0.132	0.215	1.373	0.487	0.344	93.540
35_8335_1.tif	261	34.577	0.132	0.177	1.390	0.512	0.329	94.068
36_6240_1.tif	181	26.469	0.146	0.135	1.474	0.547	0.339	90.807
38_9057_1.tif	450	55.232	0.123	0.282	1.339	0.489	0.319	86.480
39_6092_1.tif	345	37.826	0.110	0.193	1.255	0.450	0.310	91.346
40_8376_1.tif	343	45.695	0.133	0.233	1.389	0.503	0.336	89.487
42_6231_1.tif	206	33.371	0.162	0.170	1.571	0.583	0.352	90.528
1091_9433_1.tif	236	38.292	0.162	0.196	1.536	0.557	0.368	88.970
1092_9427_2.tif	384	56.616	0.147	0.289	1.482	0.549	0.340	85.349
1093_9402_1.tif	195	27.037	0.139	0.138	1.422	0.515	0.341	94.579
1094_9410_1.tif	223	32.255	0.145	0.165	1.463	0.529	0.346	92.068
1095_9409_1.tif	218	32.895	0.151	0.168	1.482	0.538	0.356	89.799
1096_9407_1.tif	153	20.448	0.134	0.104	1.414	0.500	0.336	90.976
1097_9413_1.tif	302	39.935	0.132	0.204	1.384	0.509	0.329	90.011
1098_9419_2.tif	321	39.298	0.122	0.201	1.337	0.489	0.318	98.773
1099_9418_1.tif	350	45.098	0.129	0.230	1.366	0.501	0.326	87.804
1100_9411_2.tif	369	47.297	0.128	0.242	1.388	0.506	0.320	78.930
1101_9421_1.tif	132	17.655	0.134	0.090	1.396	0.503	0.335	89.297
1102_9408_1.tif	212	27.192	0.128	0.139	1.373	0.492	0.330	89.635
1103_9412_1.tif	239	28.024	0.117	0.143	1.306	0.475	0.312	95.753
1104_9405_1.tif	150	19.678	0.131	0.100	1.401	0.493	0.335	82.932
1105_9404_1.tif	179	20.580	0.115	0.105	1.277	0.460	0.316	90.759
1106_9416_1.tif	229	34.250	0.150	0.175	1.485	0.546	0.347	94.441
